s_no,Brand_Name,Discounted Price,Actual Price,saving_percentage,core,ssd,model,extra_information
259,HP,285999,320000.0,11,Core i7,No SSD,Victus 15-FA0212TX Gaming Laptop 12th Gen Core i7-12650H,16GB-512GB
260,HP,151999,210000.0,28,Ryzen 7,No SSD,15S-EQ2315AU Laptop AMD Ryzen 7-5700U 8GB-512GB,Not Specified
261,HP,231999,292000.0,21,Core i7,8GB-512GB SSD,VICTUS 15-FB2082WM R5-8645HS  RTX-4050-6GB,8GB-512GB SSD
262,HP,401999,425000.0,5,Core i7,No SSD,Spectre x360 14-EF2051TU 13th Gen 1355U,Not Specified
263,Acer,480999,499999.0,4,Core i9,No SSD,Predator Helios Neo PH16-72-903U Intel Core i9-14900HX,32GB-1TB SSD
264,HP,296999,335000.0,11,Core i7,16GB-512GB SSD,Victus 15-FB2146AX R7-8845HS  RTX 4060 8GB,16GB-512GB SSD
266,Infinix,85999,111999.0,23,Core i3,8GB-256GB SSD,INBook Y1 Plus Laptop Core i3  International,8GB-256GB SSD
267,HP,107999,125000.0,14,Core i7,No SSD,Laptop 15S FQ5276NIA i3 12th Gen,4GB-256GB
268,DELL,101999,139999.0,27,Core i3,No SSD,Vostro 15 3520 Laptop 12th Gen Core i3,Not Specified
269,HP,106999,120000.0,11,Core i3,No SSD,15S-FQ5340TU Core i3 12th Gen,8GB-256GB
270,HP,206999,220000.0,6,Ryzen 5,No SSD,15-FB1000CA Ryzen 5 15.6 inches,16GB-1TB
271,HP,116999,150000.0,22,Ryzen 5,No SSD,15s EQ2174AU 15.6 Inches Ryzen 5,8GB-512GB
272,HP,360999,400000.0,10,Core i7,No SSD,Envy 16-H1053DX 13th Gen Core i7-13700H,16GB-1TB
273,HP,230999,300000.0,23,Ultra 7,No SSD,Envy x360 2 in 1 14 FC0023DX Core Ultra 7 Laptop,Not Specified
274,Asus,265999,300000.0,11,Ultra 7,No SSD,Zenbook 14 Q425MA Core Ultra 7 155H,Not Specified
275,Apple,395999,449999.0,12,M3,No SSD,MacBook Air 15 Inches With M3 Chip,MXD43
276,Acer,430999,550000.0,22,Ultra 9,No SSD,Predator Helios Neo PHN14-51-97X1 Intel Core Ultra 9-185H,32GB-1TB SSD
277,Lenovo,176999,199999.0,12,Core i5,16GB-512GB SSD,IdeaPad Slim 5 Core i5 13420H DOS,16GB-512GB SSD
278,HP,173999,199999.0,13,Core i7,No SSD,15s FQ5099TU 15.6 Inches 12th Gen Core i7 Win 11,8GB - 512GB
279,Lenovo,144599,174999.0,17,Core i5,No SSD,Ideapad 5 15.6 Inches 11th Gen Core i5 DOS,8GB - 512GB
280,Lenovo,155999,184999.0,16,Core i7,No SSD,Ideapad 3 15.6 Inches 11th Gen Core i7 DOS,8GB - 1TB
281,HP,152999,189999.0,19,Core i7,No SSD,250 G9 15.6 Inches 12th Gen core i5 DOS,8GB - 512GB
282,DELL,134999,170000.0,21,Core i5,No SSD,Vostro 15 3520 Laptop 12th Gen Core i5,Not Specified
